gene_id	n_AG	n_GA	mean_alt_ratio_AG	mean_alt_ratio_GA	beta_GA_vs_AG	p_value	q_value	gene_name	gene_product
gene-LOC105317224	9	8	0.479777954004758	0.476600985221675	-0.0127321449813875	0.88982448862236	0.974517622312052	LOC105317224	cell division cycle protein 16 homolog
gene-LOC105317228	5	7	0.475609756097561	0.527777777777778	0.208864104665864	0.500209885940741	0.838241349485263	LOC105317228	exocyst complex component 6B
gene-LOC105317229	6	1						LOC105317229	sepiapterin reductase-like
gene-LOC105317230	8	9	0.499378195384828	0.480387409200969	-0.076003415602922	0.435768360029672	0.811562792713398	LOC105317230	uncharacterized LOC105317230
gene-LOC105317258	8	9	0.477640603566529	0.464597478176528	-0.0523501732830585	0.58467205233631	0.868280375723001	LOC105317258	protein wech
gene-LOC105317260	9	9	0.494791666666667	0.446349206349206	-0.194598445195465	0.14729884348401	0.590907103615673	LOC105317260	protein DD3-3
gene-LOC105317261	3	7	0.378640776699029	0.389057750759878	0.0440467930905674	0.943105718784657	0.986923616171789	LOC105317261	angiopoietin-related protein 6
gene-LOC105317263	9	9	0.517519023181738	0.475108225108225	-0.169754268379275	0.0382274294558306	0.4117404668727	LOC105317263	plexin-A2
gene-LOC105317264	3	2						LOC105317264	uncharacterized LOC105317264
gene-LOC105317314	4	3	0.447368421052632	0.2	-1.17498526745268	0.101897303143408	0.538787389941193	LOC105317314	uncharacterized LOC105317314
gene-LOC105317316	7	5	0.527693856998993	0.447225244831338	-0.322777148956236	0.203802532639711	0.655006822488197	LOC105317316	large ribosomal subunit protein bL17m
gene-LOC105317322	5	8	0.445871559633028	0.483487450462351	0.151291347450322	0.246249371403856	0.692305883856791	LOC105317322	doublecortin domain-containing protein 1
gene-LOC105317337	3	7	0.558974358974359	0.380884450784593	-0.722796461596478	0.0487131922621447	0.451142958807791	LOC105317337	sulfotransferase 1C4
gene-LOC105317338	9	9	0.460204324067474	0.459152334152334	-0.00423550623737312	0.944674913428207	0.986923616171789	LOC105317338	serine-rich adhesin for platelets
gene-LOC105317339	8	9	0.406347230864966	0.480329949238579	0.300365711624845	0.119049622496662	0.55899687253878	LOC105317339	cytochrome c oxidase assembly protein COX18, mitochondrial
gene-LOC105317340	7	9	0.480036297640653	0.514187446259673	0.136662307660631	0.0376812325862024	0.4117404668727	LOC105317340	transmembrane protein 231
gene-LOC105317341	9	9	0.384428879310345	0.4419795221843	0.237659576653271	0.0437258430199244	0.431189193798197	LOC105317341	tyrosine-protein phosphatase non-receptor type 5
gene-LOC105317343	4	7	0.515151515151515	0.442073170731707	-0.293377032233682	0.365755482111825	0.766205751252462	LOC105317343	elongator complex protein 4
gene-LOC105317345	3	7	0.516935483870968	0.528377544725478	0.0458644335898372	0.520308611176551	0.84749171178564	LOC105317345	cytochrome b-c1 complex subunit 7
gene-LOC105317346	8	9	0.447236180904523	0.45360824742268	0.0257417163975843	0.890563696758249	0.974517622312052	LOC105317346	NPC intracellular cholesterol transporter 1
gene-LOC105317347	9	9	0.492570422535211	0.500291745323494	0.0308874787880283	0.406630978944983	0.794960533800341	LOC105317347	eukaryotic translation initiation factor 4 gamma 2
gene-LOC105317353	5	7	0.46	0.463141025641026	0.0126388063625452	0.917713323893183	0.980339037689802	LOC105317353	armadillo repeat-containing protein 1
gene-LOC105317355	9	9	0.495901639344262	0.467741935483871	-0.11281792170387	0.621957701538271	0.884144725248122	LOC105317355	mitochondrial fission regulator 2
