baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	ePST	class_AG	absLFC	set_strong	set_consistent	set_noisy	hit
350.610585072079	-0.868898400164502	0.204072280815948	-4.25779727011607	2.0645103602995e-05	0.000431238331286014	ORTHO_000025	0.627927033148926	Ambiguous	0.868898400164502	FALSE	TRUE	FALSE	FALSE
430.863766617673	0.726934967858908	0.126981369647887	5.72473717896306	1.03593988070952e-08	1.02728924871597e-06	ORTHO_000046	0.699096277386788	Ambiguous	0.726934967858908	FALSE	TRUE	FALSE	FALSE
877.68083262199	-0.307879579733402	0.0834599631286017	-3.68894938593487	0.000225182006600063	0.00256031409159102	ORTHO_000119	0.560437916810542	Ambiguous	0.307879579733402	FALSE	TRUE	FALSE	FALSE
249.467091519263	-0.380984037331905	0.0700803179800256	-5.43639139081095	5.43704548512176e-08	4.02299542472202e-06	ORTHO_000185	0.704096155997379	Ambiguous	0.380984037331905	FALSE	TRUE	FALSE	FALSE
458.113605676968	-0.582030024598541	0.116450423336533	-4.99809281857671	5.79001152656193e-07	2.66479047244015e-05	ORTHO_000189	0.618655598109333	Ambiguous	0.582030024598541	FALSE	TRUE	FALSE	FALSE
505.018354832001	-0.444608794861124	0.140072873716846	-3.17412488987619	0.00150289009290878	0.0103555156186888	ORTHO_000218	0.551388270971367	Ambiguous	0.444608794861124	FALSE	TRUE	FALSE	FALSE
205.299574849687	0.893710508036291	0.208047259716431	4.29570910597151	1.74135805100362e-05	0.000378533855200087	ORTHO_000224	0.592055663614539	Ambiguous	0.893710508036291	FALSE	TRUE	FALSE	FALSE
627.501638430507	-0.561858951481782	0.117634183149569	-4.77632382389557	1.78528819869238e-06	6.40574529404615e-05	ORTHO_000248	0.60853266345551	Ambiguous	0.561858951481782	FALSE	TRUE	FALSE	FALSE
686.827181050928	0.53548088973544	0.128652324276226	4.1622325344525	3.15151177560728e-05	0.000600879916146014	ORTHO_000354	0.749014799837531	Ambiguous	0.53548088973544	FALSE	TRUE	FALSE	FALSE
587.150158670327	-0.327449302424526	0.104406147874149	-3.13630288150494	0.00171092407490409	0.0114128839642874	ORTHO_000355	0.546734049952611	Ambiguous	0.327449302424526	FALSE	TRUE	FALSE	FALSE
656.472579899319	0.820752497978048	0.164128602890472	5.00066705938977	5.71322987521027e-07	2.63575818559461e-05	ORTHO_000379	0.566747320763779	Ambiguous	0.820752497978048	FALSE	TRUE	FALSE	FALSE
886.887652987698	-0.343331836596468	0.123406486207901	-2.78212148442557	0.00540048205698718	0.0262812815158379	ORTHO_000403	0.540435253130162	Ambiguous	0.343331836596468	FALSE	TRUE	FALSE	FALSE
2566.88690501896	-0.501554558336607	0.108807100886055	-4.6095756090574	4.03491774557483e-06	0.000122340131133137	ORTHO_000439	0.553388779217703	Ambiguous	0.501554558336607	FALSE	TRUE	FALSE	FALSE
4473.94705789176	-0.519936053372782	0.127839042310433	-4.06711474034837	4.75988097685261e-05	0.000824960272366582	ORTHO_000471	0.59670750074506	Ambiguous	0.519936053372782	FALSE	TRUE	FALSE	FALSE
261.440530312675	-0.656741814163032	0.120172272245263	-5.46500288205146	4.62899282847045e-08	3.4786157825826e-06	ORTHO_000522	0.635715397492799	Ambiguous	0.656741814163032	FALSE	TRUE	FALSE	FALSE
853.620116826256	-0.50291932385209	0.121898100760396	-4.12573551773897	3.69551773957385e-05	0.000679678492102503	ORTHO_000669	0.685321514136331	Ambiguous	0.50291932385209	FALSE	TRUE	FALSE	FALSE
426.800603379165	-0.60384436626012	0.155503873793185	-3.88314677654407	0.000103113281555135	0.0014575263119454	ORTHO_000673	0.565063577255674	Ambiguous	0.60384436626012	FALSE	TRUE	FALSE	FALSE
226.036419731283	-0.637360619784204	0.143978597499259	-4.4267733597522	9.56531412797108e-06	0.000238364654396253	ORTHO_000742	0.674103801810853	Ambiguous	0.637360619784204	FALSE	TRUE	FALSE	FALSE
295.140998574652	0.362379090672901	0.0792924288505056	4.57016005091878	4.87351873636759e-06	0.000142271249545129	ORTHO_000768	0.592896028911905	Ambiguous	0.362379090672901	FALSE	TRUE	FALSE	FALSE
606.10910958757	0.776493422764355	0.167232998614005	4.64318303923138	3.43082150830196e-06	0.000107846640811623	ORTHO_000775	0.571587809285437	Ambiguous	0.776493422764355	FALSE	TRUE	FALSE	FALSE
266.021097470301	-0.561946131189319	0.136340688864196	-4.12163189045532	3.76197991414172e-05	0.000687955984679262	ORTHO_000814	0.544873121301958	Ambiguous	0.561946131189319	FALSE	TRUE	FALSE	FALSE
109.28953036145	0.476445659360951	0.0891135753107045	5.34649920284053	8.96716758198855e-08	5.88772593659712e-06	ORTHO_000830	0.697966450108482	Ambiguous	0.476445659360951	FALSE	TRUE	FALSE	FALSE
644.287966166805	-0.709305964118297	0.154264139731667	-4.59799643230172	4.26573297947753e-06	0.00012742883704843	ORTHO_000865	0.625986616434501	Ambiguous	0.709305964118297	FALSE	TRUE	FALSE	FALSE
892.614192590522	-0.943097360433926	0.217969561191863	-4.32673881287389	1.51333230453793e-05	0.000338594886779695	ORTHO_000874	0.605423796177874	Ambiguous	0.943097360433926	FALSE	TRUE	FALSE	FALSE
327.550907875594	-0.887246382606726	0.152060194094356	-5.8348365783104	5.38433138730419e-09	6.05753024730749e-07	ORTHO_000910	0.800512000604571	Ambiguous	0.887246382606726	FALSE	TRUE	FALSE	FALSE
293.990860506564	-0.354232621094686	0.12812174402951	-2.7648126692148	0.00569554938786665	0.0273347627192631	ORTHO_000948	0.543452176438935	Ambiguous	0.354232621094686	FALSE	TRUE	FALSE	FALSE
274.218360708843	0.982902428376071	0.181650704844658	5.41094750618568	6.26921490191698e-08	4.51712195816775e-06	ORTHO_000951	0.705173845741899	Ambiguous	0.982902428376071	FALSE	TRUE	FALSE	FALSE
1216.75043675229	0.359305801748724	0.0688033284688681	5.22221540359491	1.76795143953598e-07	1.04330827588323e-05	ORTHO_001128	0.726344517911918	Ambiguous	0.359305801748724	FALSE	TRUE	FALSE	FALSE
