baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
123211.742836545	0.28366623659362	0.220474322798536	1.28661801969941	0.198227459799637	0.597482918843965	ORTHO_000001
40595.1196281952	1.62780873272464	0.254817286192122	6.38814091873397	1.67914570011315e-10	8.08130846821957e-07	ORTHO_000002
2909.4978983595	0.0374478063646461	0.123062756151344	0.304298453372785	0.760900523353879	0.931792166476281	ORTHO_000003
98.7464244333403	-0.0709465939737607	0.222649468221527	-0.318647039853569	0.749994178685794	0.927980076202632	ORTHO_000004
1939.59891902561	0.190897858600452	0.222356980412884	0.858519747147055	0.390605531190792	0.766610371731746	ORTHO_000005
471.997971761332	-0.074299701606278	0.121521695452814	-0.611411002203538	0.540927520722228	0.847418276948816	ORTHO_000006
1764.02781399878	0.235531692132086	0.135744412058157	1.7351115125916	0.0827210555375074	0.418188823569473	ORTHO_000007
53.4251214674358	-0.205335776033991	0.238635001285661	-0.860459592799597	0.389535748249426	0.766140689053442	ORTHO_000008
273.659961861906	0.160528153588211	0.157793147110082	1.01733285968509	0.308995109790576	0.707224451144737	ORTHO_000009
1463.21520728525	-0.0778908562046023	0.0774486205081985	-1.0057100525936	0.314555066076891	0.710155925536088	ORTHO_000010
1570.15392443555	0.101395969352276	0.117729123104882	0.861264967224339	0.389092125738155	0.765890849957588	ORTHO_000011
1377.57831217685	-0.0841058117853747	0.17807147932613	-0.472314893455447	0.636702041288942	0.886423945683554	ORTHO_000012
11.4253168842766	0.303203807902683	0.538864713472737	0.562671483810237	0.573658605609107	0.86156200784685	ORTHO_000013
30.6133743852286	-0.426372060247559	0.796086514552167	-0.53558508083435	0.592245341968075	0.87079046121612	ORTHO_000014
186.590281544499	0.178351648067533	0.162444974076446	1.09792038246503	0.272239256830012	0.673134618166428	ORTHO_000015
1117.55914879095	0.0190381726051124	0.137073434798532	0.138890315494715	0.889536823908255	0.970390060466812	ORTHO_000016
75.1605176578045	-0.218995463117732	0.329986158081955	-0.66365045246335	0.506914058152171	0.829672039915614	ORTHO_000017
2065.73617379598	0.308520358379826	0.157759399371574	1.95563852048626	0.0505077517733263	0.336891405881378	ORTHO_000018
